43;PAV DES GRANDS HOMMES;1 PLACE DES GRANDS HOMMES;33000;BORDEAUX;44.843228;-0.577147;1
44;PAV PRATVIEL;161 AVENUE DE LA REPUBLIQUE;33200;BORDEAUX;44.83959;-0.608211;1
45;PAV BELHOMME;62 AVENUE MONTESQUIEU;33160;SAINT-MEDARD-EN-JALLES;44.8955;-0.716989;1
46;PAV BELIER-ALBO;44 PLACE GAMBETTA;33000;BORDEAUX;44.84173;-0.580445;1
47;PAV BELIN;71 AVENUE PASTEUR;33270;FLOIRAC;44.8336;-0.52931;1
48;PAV BENARD-BUFFELAN;8 AVENUE DU MARECHAL GALLIENI;33700;MERIGNAC;44.837007;-0.616623;1
49;PAV SAINT SEURIN;65 PLACE MARTYRS DE LA RESISTANCE;33000;BORDEAUX;44.84284;-0.586275;1
50;PAV BENESSE;52 RUE DU MARECHAL JOFFRE;33250;PAUILLAC;45.203341;-0.752711;1
51;PAV BENITO CAMU;96 AVENUE JJ ROUSSEAU;33160;SAINT-MEDARD-EN-JALLES;44.8955955505371;-0.73028618097305;1
52;PAV BERARD-ARGIVIER;3 RUE MORTON;33000;BORDEAUX;44.84931;-0.622802;1
53;PAV BERTHON LAMARQUE;237 RUE CHATEAUBRIAND LD BERTRANOT;33290;LE-PIAN-MEDOC;44.956864;-0.669773;1
54;PAV BIRAULT;AVENUE DE LAGRAULA;33450;ST SULPICE ET CAMEYRAC;44.9100189208984;-0.39102730154991;1
55;PAV BIZAT-ANSELM;10 TER RUE DE THUIR;33760;TARGON;44.735912;-0.266141;1
56;PAV BLUHM-LAGARDE;42 AVENUE DE LA MARNE;33700;MERIGNAC;44.836796;-0.621184;1
57;PAV BONNEFOND;20 PLACE ROBERT DARNICHE;33580;MONSEGUR;44.64997;0.080001;1
58;PAV BORDAGES;1 PLACE DE LA PREVOTE;33670;CREON;44.774981;-0.348283;1
59;PAV BOS;192 AVENUE RENE CASSAGNE;33150;CENON;44.850563;-0.517464;1
60;PAV BOUAZIZ-GERMAIN;5 BOULEVARD DE LA PLAGE;33950;LEGE-CAP-FERRET;44.686925;-1.236295;1
61;PAV YALI;421 ROUTE DU MEDOC;33520;BRUGES;44.87364;-0.617275;1
62;PAV BOUTET PAV BOUTET-NEIGEL;4BIS LA MEDONNERIE RD 674;33230;COUTRAS;45.041993;-0.129844;1
63;PAV DES HERBES;87 COURS D ALSACE LORRAINE;33000;BORDEAUX;44.847;-0.6085;1
64;PAV DE L ESTUAIRE;10 AVENUE DE LA REPUBLIQUE;33820;BRAUD ET ST LOUIS;45.245084;-0.626594;1
65;PAV BROCHET-POUVEREAU-JEBBARI;CCAL DE THOUARS PLACE CHARLES DE GAULLE;33400;TALENCE;44.79065;-0.58665;1
66;PAV BRODU-JAMET;2 RUE EUGENE LESCOURT;33540;BLASIMON;44.749165;-0.074599;1
